technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
gas storage discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,6.3906,25.0,,,,,,,,,,,,,,,,,0.0,0.5483806913503856
geothermal,,,,0.12,,2.0,,,0.0,,,,,,,,,,,,,,0.07,25.0,0.8,,1.0,,,,,,,,,0.0,,,,,,0.0,30.0,,,,,,,,,,,,,,,,,0.0,0.0
grey methanol synthesis,,,,0.0,,0.0,,,0.0,,,,,,,,0.0568,,,,,,0.07,,,,0.569,,,,,,,,,0.0,,,,,,1258828.3146,25.0,,,,,,,,,,,,,,,,,0.0,108020.70876784474
helmeth,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8,,,,,,,,,0.0,,,,,,2671.6062,25.0,,,,,,,,,,,,,,,,,0.0,309.400095831937
home battery inverter,,,,0.0,,0.3375,,,0.0,,,,,,,,,,,,,,0.07,,,,0.96,,,,,,,,,0.0,,,,,,304.9271,10.0,,,,,,,,,,,,,,,,,0.0,44.44388797439739
home battery storage,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,271.2908,25.0,,,,,,,,,,,,,,,,,0.0,23.279603865208145
hydro,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,2888.5279,80.0,,,,,,,,,,,,,,,,,0.0,231.98799277992995
hydrogen direct iron reduction furnace,,,,0.0,,11.3,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,1.03,,0.0,,,,,2.1,5378698.8822,40.0,,,,,,,,1.59,,,,,,,,,0.0,1011244.5451028723
hydrogen storage compressor,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,0.05,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,110.2557,15.0,,,,,,,,,,,,,,,,,0.0,16.515711202646763
hydrogen storage tank type 1,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,16.974,20.0,,,,6.0,,,,,,,,,,,,,0.0,1.9417055215660217
hydrogen storage tank type 1 including compressor,,,,0.0,,1.1133,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,60.0469,30.0,,,,,,,,,,,,,,,,,0.0,5.507465850691342
hydrogen storage underground,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2.6741,100.0,,,,,,,,,,,,,,,,,0.0,0.18740297262504282
industrial heat pump high temperature,,,,0.0,,0.0931,,,4.0516,,,,,,,,,,,,,,0.07,,,,3.05,,,,,,,,,0.0,,,,,,1183.28,20.0,,,,,,,,,,,,,,,,,4.0516,112.79489485347956
industrial heat pump medium temperature,,,,0.0,,0.1117,,,4.0516,,,,,,,,,,,,,,0.07,,,,2.7,,,,,,,,,0.0,,,,,,986.0667,20.0,,,,,,,,,,,,,,,,,4.0516,94.17915729489717
iron ore DRI-ready,,,,0.0,,0.0,,,0.0,,,,,,,,,,,97.73,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
iron-air battery,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,21.033,17.5,,,,,,,,,,,,,,,,,0.0,2.331948706824446
iron-air battery charge,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.71,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
iron-air battery discharge,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
lignite,,,,0.4069,,1.31,,,4.1005,,,,,,,,,,,,,,0.07,,,,0.33,,,,,,,,,7.9423,,,,,,4812.0244,40.0,,,,,,,,,,,,,,,,,28.168075757575757,423.9833261228014
methanation,,,,0.0,,3.0,,,0.0,,,,,,,0.198,,,,,,,0.07,,,,0.8,,,,,,,,,0.0,,,,,1.282,856.4427,20.0,,,,,,,,,,,,,,,,,0.0,106.53541318445339
